epoch,train_acc,val_acc,train_loss
1,12.75,13.88,2.2947
2,21.54,27.57,2.1832
3,36.91,43.83,1.7991
4,53.99,63.45,1.3602
5,71.11,78.59,0.8659
6,82.31,87.44,0.5322
7,88.40,90.05,0.3548
8,91.31,92.58,0.2658
9,93.25,92.17,0.2072
10,94.64,94.94,0.1701
11,95.38,94.72,0.1408
12,96.20,96.00,0.1186
13,96.73,97.24,0.1048
14,97.24,95.44,0.0916
15,97.69,97.66,0.0775
16,97.90,98.13,0.0719
17,98.18,98.25,0.0627
18,98.34,97.22,0.0567
19,98.58,98.24,0.0500
20,98.58,97.87,0.0479
21,98.77,97.15,0.0428
22,98.88,97.36,0.0413
23,99.12,94.43,0.0345
24,99.02,98.47,0.0372
25,99.22,97.86,0.0302
26,99.23,97.88,0.0284
